id,degree_all,eigen_all,close_all,between_all,cluster_all,component_all,component_size_all
1946-001,3,1.3777145912401156e-4,2.624465265202215e-5,150.70535364984147,62,1,8522
1946-002,16,0.038427630112774905,3.489670575097711e-5,5535.541454812775,60,1,8522
1946-003,2,1.6642348879533818e-4,2.551866690484089e-5,101.98916796996862,154,1,8522
1946-004,8,0.003302437199272051,3.084801184563655e-5,6003.691939045411,76,1,8522
1946-006,25,0.022044383236997835,3.377237419790611e-5,34796.411525523195,15,1,8522
1946-007,23,0.04044219394719649,3.6714763006204796e-5,23455.790466084225,1,1,8522
1946-008,18,0.031628019075347756,3.5029950607769645e-5,9070.38126769813,49,1,8522
1946-009,24,0.010821066212946201,3.485413544317033e-5,30526.24291374081,1,1,8522
1946-010,5,9.809288379480873e-4,2.97000297000297e-5,6312.0200428946455,71,1,8522
1946-011,12,0.011625866930943937,3.106168851338759e-5,544.9461113698668,125,1,8522
1946-012,25,0.05118567467414738,3.5164216892889795e-5,6590.617722777207,49,1,8522
1946-014,24,0.034986512917947264,3.46812790455712e-5,10739.762468128263,5,1,8522
1946-015,7,0.010050383430367085,3.0579169469757204e-5,2109.0198369979985,1,1,8522
1946-016,2,0.002023539960232438,2.893434796446862e-5,17.15171908942455,14,1,8522
1946-017,16,0.0039153373265152815,3.029843963035904e-5,852.6070488711654,15,1,8522
1946-018,5,0.003927749589738344,3.151988904999054e-5,360.5795867989166,14,1,8522
1946-019,3,1.7698875487871316e-4,2.7137042062415198e-5,107.39928455794687,59,1,8522
1946-020,13,0.013051849094962337,3.220197076061055e-5,9226.679476256257,49,1,8522
1946-021,2,9.552383168100701e-5,2.4942009827151872e-5,28.866381722527866,43,1,8522
1946-022,3,1.8300767853781516e-4,2.620888481195125e-5,1.358720266672887,36,1,8522
1946-023,11,0.0030503491385460288,3.1465340926968945e-5,22594.967133373535,43,1,8522
1946-024,10,5.465010371302261e-4,2.817536346218866e-5,2300.55027146262,98,1,8522
